INFO:__main__:Epoch 3: Train_loss=0.1586, Train_acc=0.9450, Train_f1=0.9447
INFO:__main__:Epoch 3: Val_loss=0.6748, Val_acc=0.8033, Val_f1=0.8031
INFO:__main__:Epoch 3: Test_loss=0.5533, Test_acc=0.8184, Test_f1=0.8144
INFO:__main__:Epoch 4: Train_loss=0.1152, Train_acc=0.9603, Train_f1=0.9603
INFO:__main__:Epoch 4: Val_loss=1.0286, Val_acc=0.8025, Val_f1=0.7916
INFO:__main__:Epoch 4: Test_loss=0.9491, Test_acc=0.8022, Test_f1=0.7808
INFO:__main__:Epoch 5: Train_loss=0.1108, Train_acc=0.9687, Train_f1=0.9686
INFO:__main__:Epoch 5: Val_loss=1.2864, Val_acc=0.7939, Val_f1=0.7991
INFO:__main__:Epoch 5: Test_loss=0.9362, Test_acc=0.8049, Test_f1=0.8054
INFO:__main__:Epoch 6: Train_loss=0.0545, Train_acc=0.9829, Train_f1=0.9829
INFO:__main__:Epoch 6: Val_loss=1.2288, Val_acc=0.8021, Val_f1=0.7996
INFO:__main__:Epoch 6: Test_loss=0.9571, Test_acc=0.8157, Test_f1=0.8101
INFO:__main__:Epoch 7: Train_loss=0.0255, Train_acc=0.9911, Train_f1=0.9911
INFO:__main__:Epoch 7: Val_loss=1.3444, Val_acc=0.8049, Val_f1=0.8042
INFO:__main__:Epoch 7: Test_loss=1.0240, Test_acc=0.8266, Test_f1=0.8232
INFO:__main__:Epoch 8: Train_loss=0.0180, Train_acc=0.9940, Train_f1=0.9940
INFO:__main__:Epoch 8: Val_loss=1.4495, Val_acc=0.8060, Val_f1=0.8046
INFO:__main__:Epoch 8: Test_loss=1.1149, Test_acc=0.8238, Test_f1=0.8179
INFO:__main__:Epoch 9: Train_loss=0.0145, Train_acc=0.9952, Train_f1=0.9952
INFO:__main__:Epoch 9: Val_loss=1.5560, Val_acc=0.8069, Val_f1=0.8070
INFO:__main__:Epoch 9: Test_loss=1.2153, Test_acc=0.8293, Test_f1=0.8255
INFO:__main__:Epoch 10: Train_loss=0.0114, Train_acc=0.9962, Train_f1=0.9962
INFO:__main__:Epoch 10: Val_loss=1.6313, Val_acc=0.8090, Val_f1=0.8072
INFO:__main__:Epoch 10: Test_loss=1.3044, Test_acc=0.8320, Test_f1=0.8258
INFO:__main__:Epoch 11: Train_loss=0.0096, Train_acc=0.9968, Train_f1=0.9968
INFO:__main__:Epoch 11: Val_loss=1.6483, Val_acc=0.8085, Val_f1=0.8060
INFO:__main__:Epoch 11: Test_loss=1.3251, Test_acc=0.8347, Test_f1=0.8272
INFO:__main__:Epoch 12: Train_loss=0.0074, Train_acc=0.9975, Train_f1=0.9975
