INFO:__main__:Epoch 3: Train_loss=0.1081, Train_acc=0.9612, Train_f1=0.9612
INFO:__main__:Epoch 3: Val_loss=0.6528, Val_acc=0.8113, Val_f1=0.8057
INFO:__main__:Epoch 3: Test_loss=0.6710, Test_acc=0.8076, Test_f1=0.7989
INFO:__main__:Epoch 4: Train_loss=0.0550, Train_acc=0.9811, Train_f1=0.9811
INFO:__main__:Epoch 4: Val_loss=0.8427, Val_acc=0.8147, Val_f1=0.8123
INFO:__main__:Epoch 4: Test_loss=0.8095, Test_acc=0.7967, Test_f1=0.7911
INFO:__main__:Epoch 5: Train_loss=0.0552, Train_acc=0.9828, Train_f1=0.9828
INFO:__main__:Epoch 5: Val_loss=0.9991, Val_acc=0.8151, Val_f1=0.8111
INFO:__main__:Epoch 5: Test_loss=0.8634, Test_acc=0.8103, Test_f1=0.8045
INFO:__main__:Epoch 6: Train_loss=0.0242, Train_acc=0.9920, Train_f1=0.9920
INFO:__main__:Epoch 6: Val_loss=1.0155, Val_acc=0.8174, Val_f1=0.8186
INFO:__main__:Epoch 6: Test_loss=0.8224, Test_acc=0.8076, Test_f1=0.8107
INFO:__main__:Epoch 7: Train_loss=0.0119, Train_acc=0.9959, Train_f1=0.9959
INFO:__main__:Epoch 7: Val_loss=1.0834, Val_acc=0.8184, Val_f1=0.8180
INFO:__main__:Epoch 7: Test_loss=0.8919, Test_acc=0.8076, Test_f1=0.8065
INFO:__main__:Epoch 8: Train_loss=0.0084, Train_acc=0.9972, Train_f1=0.9972
INFO:__main__:Epoch 8: Val_loss=1.1580, Val_acc=0.8170, Val_f1=0.8141
INFO:__main__:Epoch 8: Test_loss=0.9409, Test_acc=0.8157, Test_f1=0.8101
INFO:__main__:Epoch 9: Train_loss=0.0073, Train_acc=0.9974, Train_f1=0.9974
INFO:__main__:Epoch 9: Val_loss=1.2174, Val_acc=0.8195, Val_f1=0.8168
INFO:__main__:Epoch 9: Test_loss=1.0857, Test_acc=0.8130, Test_f1=0.8089
INFO:__main__:Epoch 10: Train_loss=0.0059, Train_acc=0.9980, Train_f1=0.9980
INFO:__main__:Epoch 10: Val_loss=1.2715, Val_acc=0.8199, Val_f1=0.8162
INFO:__main__:Epoch 10: Test_loss=1.0806, Test_acc=0.8157, Test_f1=0.8090
INFO:__main__:Epoch 11: Train_loss=0.0046, Train_acc=0.9984, Train_f1=0.9984
INFO:__main__:Epoch 11: Val_loss=1.2756, Val_acc=0.8204, Val_f1=0.8194
INFO:__main__:Epoch 11: Test_loss=1.0740, Test_acc=0.8184, Test_f1=0.8164
INFO:__main__:Epoch 12: Train_loss=0.0042, Train_acc=0.9986, Train_f1=0.9986
INFO:__main__:Epoch 12: Val_loss=1.2749, Val_acc=0.8209, Val_f1=0.8204
INFO:__main__:Epoch 12: Test_loss=1.1865, Test_acc=0.8184, Test_f1=0.8164
INFO:__main__:Epoch 13: Train_loss=0.0038, Train_acc=0.9986, Train_f1=0.9986
INFO:__main__:Epoch 13: Val_loss=1.2855, Val_acc=0.8204, Val_f1=0.8207
INFO:__main__:Epoch 13: Test_loss=1.0635, Test_acc=0.8103, Test_f1=0.8098
INFO:__main__:Epoch 14: Train_loss=0.0043, Train_acc=0.9987, Train_f1=0.9987
INFO:__main__:Epoch 14: Val_loss=1.2891, Val_acc=0.8206, Val_f1=0.8210
INFO:__main__:Epoch 14: Test_loss=1.1196, Test_acc=0.8076, Test_f1=0.8076
INFO:__main__:Epoch 15: Train_loss=0.0036, Train_acc=0.9988, Train_f1=0.9988
INFO:__main__:Epoch 15: Val_loss=1.3003, Val_acc=0.8202, Val_f1=0.8208
INFO:__main__:Epoch 15: Test_loss=1.1108, Test_acc=0.8103, Test_f1=0.8098
INFO:__main__:Epoch 16: Train_loss=0.0035, Train_acc=0.9986, Train_f1=0.9986
INFO:__main__:Epoch 16: Val_loss=1.3077, Val_acc=0.8202, Val_f1=0.8208
INFO:__main__:Epoch 16: Test_loss=1.0698, Test_acc=0.8076, Test_f1=0.8076
INFO:__main__:Epoch 17: Train_loss=0.0041, Train_acc=0.9986, Train_f1=0.9986
INFO:__main__:Epoch 17: Val_loss=1.3023, Val_acc=0.8202, Val_f1=0.8209
INFO:__main__:Epoch 17: Test_loss=1.0541, Test_acc=0.8103, Test_f1=0.8108
INFO:__main__:Epoch 18: Train_loss=0.0037, Train_acc=0.9987, Train_f1=0.9987
